PLAYERS,,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS
C. Hodge,,11,352.35,44,74,59%,0,2,0%,10,20,50%,30,10,11,43,38,81,40,19,86,98
R. Ular,,11,302.58,42,93,45%,0,8,0%,13,14,93%,13,5,3,38,63,101,22,8,-107,97
R. Ular,,11,302.58,42,93,45%,0,8,0%,13,14,93%,13,5,3,38,63,101,22,8,-107,97
R. Ular,,11,302.58,42,93,45%,0,8,0%,13,14,93%,13,5,3,38,63,101,22,8,-107,97
B. Belga,,11,251.55,37,87,43%,13,45,29%,9,10,90%,45,6,3,19,43,62,48,20,-33,96
B. Belga,,11,251.55,37,87,43%,13,45,29%,9,10,90%,45,6,3,19,43,62,48,20,-33,96
B. Belga,,11,251.55,37,87,43%,13,45,29%,9,10,90%,45,6,3,19,43,62,48,20,-33,96
V. Manuel,,7,85.25,25,42,60%,0,0,0%,11,16,69%,1,1,0,2,13,15,17,5,-5,61
V. Manuel,,7,85.25,25,42,60%,0,0,0%,11,16,69%,1,1,0,2,13,15,17,5,-5,61
V. Manuel,,7,85.25,25,42,60%,0,0,0%,11,16,69%,1,1,0,2,13,15,17,5,-5,61
K. Williams,,11,290.47,40,73,55%,10,20,50%,5,15,33%,18,8,2,17,43,60,19,9,46,95
K. Williams,,11,290.47,40,73,55%,10,20,50%,5,15,33%,18,8,2,17,43,60,19,9,46,95
K. Williams,,11,290.47,40,73,55%,10,20,50%,5,15,33%,18,8,2,17,43,60,19,9,46,95
K. Rosales,,10,235.03,31,69,45%,12,34,35%,9,12,75%,28,8,2,2,20,22,29,10,67,83
K. Rosales,,10,235.03,31,69,45%,12,34,35%,9,12,75%,28,8,2,2,20,22,29,10,67,83
K. Rosales,,10,235.03,31,69,45%,12,34,35%,9,12,75%,28,8,2,2,20,22,29,10,67,83
J. Munzon,,11,245.08,31,96,32%,16,58,28%,13,15,87%,10,9,0,4,21,25,19,15,-72,91
J. Munzon,,11,245.08,31,96,32%,16,58,28%,13,15,87%,10,9,0,4,21,25,19,15,-72,91
J. Munzon,,11,245.08,31,96,32%,16,58,28%,13,15,87%,10,9,0,4,21,25,19,15,-72,91
K. Quinto,,11,272.75,28,83,34%,12,38,32%,22,26,85%,19,6,0,10,26,36,23,17,1,90
K. Quinto,,11,272.75,28,83,34%,12,38,32%,22,26,85%,19,6,0,10,26,36,23,17,1,90
K. Quinto,,11,272.75,28,83,34%,12,38,32%,22,26,85%,19,6,0,10,26,36,23,17,1,90
J. Calma,,11,281.78,37,56,66%,0,0,0%,15,22,68%,6,5,3,33,36,69,46,17,-31,89
J. Calma,,11,281.78,37,56,66%,0,0,0%,15,22,68%,6,5,3,33,36,69,46,17,-31,89
J. Calma,,11,281.78,37,56,66%,0,0,0%,15,22,68%,6,5,3,33,36,69,46,17,-31,89
J. Rosario,,5,110.50,14,35,40%,4,17,24%,8,10,80%,7,1,2,3,9,12,17,11,-37,40
J. Rosario,,5,110.50,14,35,40%,4,17,24%,8,10,80%,7,1,2,3,9,12,17,11,-37,40
J. Rosario,,5,110.50,14,35,40%,4,17,24%,8,10,80%,7,1,2,3,9,12,17,11,-37,40
A. Tratter,,11,220.37,27,52,52%,1,4,25%,33,43,77%,3,3,4,21,31,52,33,18,23,88
A. Tratter,,11,220.37,27,52,52%,1,4,25%,33,43,77%,3,3,4,21,31,52,33,18,23,88
A. Tratter,,11,220.37,27,52,52%,1,4,25%,33,43,77%,3,3,4,21,31,52,33,18,23,88
J. Mocon,,5,133.27,14,38,37%,3,11,27%,9,15,60%,16,8,1,7,16,23,10,5,28,40
J. Mocon,,5,133.27,14,38,37%,3,11,27%,9,15,60%,16,8,1,7,16,23,10,5,28,40
J. Mocon,,5,133.27,14,38,37%,3,11,27%,9,15,60%,16,8,1,7,16,23,10,5,28,40
N. Demusis,,11,209.55,33,61,54%,5,20,25%,15,18,83%,18,6,1,14,35,49,31,17,-12,86
N. Demusis,,11,209.55,33,61,54%,5,20,25%,15,18,83%,18,6,1,14,35,49,31,17,-12,86
N. Demusis,,11,209.55,33,61,54%,5,20,25%,15,18,83%,18,6,1,14,35,49,31,17,-12,86
S. Anthony,,6,125.07,15,37,41%,8,21,38%,8,11,73%,10,2,0,9,19,28,22,7,17,46
P. Zamar,,11,208.40,27,63,43%,11,26,42%,17,21,81%,24,1,2,10,11,21,16,10,-53,82
P. Zamar,,11,208.40,27,63,43%,11,26,42%,17,21,81%,24,1,2,10,11,21,16,10,-53,82
P. Zamar,,11,208.40,27,63,43%,11,26,42%,17,21,81%,24,1,2,10,11,21,16,10,-53,82
R. dela Rosa,,11,295.20,28,62,45%,13,34,38%,7,9,78%,15,4,0,10,23,33,22,5,57,76
R. dela Rosa,,11,295.20,28,62,45%,13,34,38%,7,9,78%,15,4,0,10,23,33,22,5,57,76
R. dela Rosa,,11,295.20,28,62,45%,13,34,38%,7,9,78%,15,4,0,10,23,33,22,5,57,76
R. Jazul,,11,257.92,22,83,27%,19,70,27%,13,15,87%,17,7,0,4,20,24,19,16,-8,76
R. Jazul,,11,257.92,22,83,27%,19,70,27%,13,15,87%,17,7,0,4,20,24,19,16,-8,76
R. Jazul,,11,257.92,22,83,27%,19,70,27%,13,15,87%,17,7,0,4,20,24,19,16,-8,76
G. Norwood,,9,234.37,23,62,37%,10,38,26%,6,10,60%,25,16,1,16,23,39,13,12,-64,62
G. Norwood,,9,234.37,23,62,37%,10,38,26%,6,10,60%,25,16,1,16,23,39,13,12,-64,62
G. Norwood,,9,234.37,23,62,37%,10,38,26%,6,10,60%,25,16,1,16,23,39,13,12,-64,62
R. Garcia,,11,152.73,25,61,41%,9,25,36%,16,18,89%,21,4,1,3,18,21,11,6,14,75
R. Garcia,,11,152.73,25,61,41%,9,25,36%,16,18,89%,21,4,1,3,18,21,11,6,14,75
R. Garcia,,11,152.73,25,61,41%,9,25,36%,16,18,89%,21,4,1,3,18,21,11,6,14,75
R. Escoto,,11,153.43,34,57,60%,2,7,29%,5,10,50%,9,1,0,14,20,34,26,9,56,75
R. Escoto,,11,153.43,34,57,60%,2,7,29%,5,10,50%,9,1,0,14,20,34,26,9,56,75
R. Escoto,,11,153.43,34,57,60%,2,7,29%,5,10,50%,9,1,0,14,20,34,26,9,56,75
J. Balanza,,11,228.05,23,62,37%,8,35,23%,21,27,78%,10,3,1,3,12,15,21,10,20,75
J. Balanza,,11,228.05,23,62,37%,8,35,23%,21,27,78%,10,3,1,3,12,15,21,10,20,75
J. Balanza,,11,228.05,23,62,37%,8,35,23%,21,27,78%,10,3,1,3,12,15,21,10,20,75
S. Manganti,,11,186.03,28,55,51%,11,28,39%,8,8,100%,6,3,1,2,23,25,20,6,4,75
S. Manganti,,11,186.03,28,55,51%,11,28,39%,8,8,100%,6,3,1,2,23,25,20,6,4,75
S. Manganti,,11,186.03,28,55,51%,11,28,39%,8,8,100%,6,3,1,2,23,25,20,6,4,75
Y. Taha,,10,186.57,26,49,53%,0,0,0%,16,30,53%,13,3,4,18,42,60,23,17,-77,68
Y. Taha,,10,186.57,26,49,53%,0,0,0%,16,30,53%,13,3,4,18,42,60,23,17,-77,68
Y. Taha,,10,186.57,26,49,53%,0,0,0%,16,30,53%,13,3,4,18,42,60,23,17,-77,68
T. Browne,,3,33.65,6,17,35%,6,16,38%,2,4,50%,1,3,0,1,3,4,2,0,18,20
T. Browne,,3,33.65,6,17,35%,6,16,38%,2,4,50%,1,3,0,1,3,4,2,0,18,20
T. Browne,,3,33.65,6,17,35%,6,16,38%,2,4,50%,1,3,0,1,3,4,2,0,18,20
C. Banchero,,11,228.83,26,69,38%,12,30,40%,9,12,75%,41,7,0,8,22,30,24,20,1,73
C. Banchero,,11,228.83,26,69,38%,12,30,40%,9,12,75%,41,7,0,8,22,30,24,20,1,73
C. Banchero,,11,228.83,26,69,38%,12,30,40%,9,12,75%,41,7,0,8,22,30,24,20,1,73
A. Asistio,,11,186.25,25,63,40%,14,43,33%,9,10,90%,21,0,0,1,9,10,20,10,-69,73
A. Asistio,,11,186.25,25,63,40%,14,43,33%,9,10,90%,21,0,0,1,9,10,20,10,-69,73
A. Asistio,,11,186.25,25,63,40%,14,43,33%,9,10,90%,21,0,0,1,9,10,20,10,-69,73
N. Torres,,9,102.35,21,42,50%,9,20,45%,8,9,89%,4,1,0,4,11,15,13,5,-22,59
N. Torres,,9,102.35,21,42,50%,9,20,45%,8,9,89%,4,1,0,4,11,15,13,5,-22,59
N. Torres,,9,102.35,21,42,50%,9,20,45%,8,9,89%,4,1,0,4,11,15,13,5,-22,59
L. Muyang,,11,119.43,27,47,57%,9,20,45%,9,14,64%,5,1,1,10,22,32,19,7,-25,72
L. Muyang,,11,119.43,27,47,57%,9,20,45%,9,14,64%,5,1,1,10,22,32,19,7,-25,72
L. Muyang,,11,119.43,27,47,57%,9,20,45%,9,14,64%,5,1,1,10,22,32,19,7,-25,72
S. Enciso,,11,325.67,26,70,37%,18,54,33%,2,2,100%,85,12,0,2,22,24,20,17,110,72
A. Caracut,,10,189.70,22,60,37%,13,40,33%,8,14,57%,31,0,1,3,11,14,16,10,-46,65
A. Caracut,,10,189.70,22,60,37%,13,40,33%,8,14,57%,31,0,1,3,11,14,16,10,-46,65
A. Caracut,,10,189.70,22,60,37%,13,40,33%,8,14,57%,31,0,1,3,11,14,16,10,-46,65
M. Tautuaa,,11,150.50,29,52,56%,3,6,50%,10,14,71%,5,6,3,12,35,47,25,17,5,71
M. Tautuaa,,11,150.50,29,52,56%,3,6,50%,10,14,71%,5,6,3,12,35,47,25,17,5,71
M. Tautuaa,,11,150.50,29,52,56%,3,6,50%,10,14,71%,5,6,3,12,35,47,25,17,5,71
A. Dionisio,,10,124.70,23,46,50%,10,23,43%,5,8,63%,2,6,2,17,10,27,17,8,19,61
A. Dionisio,,10,124.70,23,46,50%,10,23,43%,5,8,63%,2,6,2,17,10,27,17,8,19,61
A. Dionisio,,10,124.70,23,46,50%,10,23,43%,5,8,63%,2,6,2,17,10,27,17,8,19,61
P. Cahilig,,11,254.83,25,57,44%,13,34,38%,3,5,60%,14,9,5,15,33,48,38,2,-89,66
P. Cahilig,,11,254.83,25,57,44%,13,34,38%,3,5,60%,14,9,5,15,33,48,38,2,-89,66
P. Cahilig,,11,254.83,25,57,44%,13,34,38%,3,5,60%,14,9,5,15,33,48,38,2,-89,66
S. Pringle,,11,217.48,25,56,45%,13,28,46%,2,5,40%,18,7,0,2,21,23,16,13,-12,65
S. Pringle,,11,217.48,25,56,45%,13,28,46%,2,5,40%,18,7,0,2,21,23,16,13,-12,65
S. Pringle,,11,217.48,25,56,45%,13,28,46%,2,5,40%,18,7,0,2,21,23,16,13,-12,65
R. McCarthy,,8,178.45,15,39,38%,9,29,31%,8,9,89%,36,5,0,2,20,22,17,12,-17,47
R. McCarthy,,8,178.45,15,39,38%,9,29,31%,8,9,89%,36,5,0,2,20,22,17,12,-17,47
R. McCarthy,,8,178.45,15,39,38%,9,29,31%,8,9,89%,36,5,0,2,20,22,17,12,-17,47
F. Tungcab,,5,55.92,10,22,45%,5,15,33%,4,7,57%,6,1,0,3,6,9,5,3,-9,29
F. Tungcab,,5,55.92,10,22,45%,5,15,33%,4,7,57%,6,1,0,3,6,9,5,3,-9,29
F. Tungcab,,5,55.92,10,22,45%,5,15,33%,4,7,57%,6,1,0,3,6,9,5,3,-9,29
M. Ayonayon,,7,93.38,15,38,39%,7,20,35%,2,2,100%,11,5,0,3,7,10,4,4,-26,39
M. Ayonayon,,7,93.38,15,38,39%,7,20,35%,2,2,100%,11,5,0,3,7,10,4,4,-26,39
M. Ayonayon,,7,93.38,15,38,39%,7,20,35%,2,2,100%,11,5,0,3,7,10,4,4,-26,39
G. Khobuntin,,11,188.10,23,53,43%,8,26,31%,7,10,70%,8,2,1,9,23,32,26,6,6,61
T. Hill,,11,129.73,27,36,75%,2,6,33%,5,8,63%,3,4,0,7,8,15,16,5,-22,61
T. Hill,,11,129.73,27,36,75%,2,6,33%,5,8,63%,3,4,0,7,8,15,16,5,-22,61
T. Hill,,11,129.73,27,36,75%,2,6,33%,5,8,63%,3,4,0,7,8,15,16,5,-22,61
S. Ildefonso,,9,98.27,18,33,55%,7,16,44%,6,17,35%,7,1,0,6,19,25,2,1,30,49
S. Ildefonso,,9,98.27,18,33,55%,7,16,44%,6,17,35%,7,1,0,6,19,25,2,1,30,49
S. Ildefonso,,9,98.27,18,33,55%,7,16,44%,6,17,35%,7,1,0,6,19,25,2,1,30,49
J. Sena,,7,87.30,14,29,48%,7,15,47%,2,3,67%,6,2,2,1,8,9,13,2,-16,37
J. Sena,,7,87.30,14,29,48%,7,15,47%,2,3,67%,6,2,2,1,8,9,13,2,-16,37
J. Sena,,7,87.30,14,29,48%,7,15,47%,2,3,67%,6,2,2,1,8,9,13,2,-16,37
M. Borboran,,10,164.63,21,47,45%,5,15,33%,5,6,83%,7,3,3,11,24,35,10,2,-29,52
M. Borboran,,10,164.63,21,47,45%,5,15,33%,5,6,83%,7,3,3,11,24,35,10,2,-29,52
M. Borboran,,10,164.63,21,47,45%,5,15,33%,5,6,83%,7,3,3,11,24,35,10,2,-29,52
R. Almazan,,11,168.60,23,50,46%,1,6,17%,10,13,77%,3,1,11,8,29,37,25,14,1,57
R. Almazan,,11,168.60,23,50,46%,1,6,17%,10,13,77%,3,1,11,8,29,37,25,14,1,57
R. Almazan,,11,168.60,23,50,46%,1,6,17%,10,13,77%,3,1,11,8,29,37,25,14,1,57
A. Caram,,8,84.58,14,26,54%,9,16,56%,4,4,100%,7,0,0,4,3,7,10,4,14,41
A. Caram,,8,84.58,14,26,54%,9,16,56%,4,4,100%,7,0,0,4,3,7,10,4,14,41
A. Caram,,8,84.58,14,26,54%,9,16,56%,4,4,100%,7,0,0,4,3,7,10,4,14,41
J. Chua,,11,164.97,26,54,48%,0,3,0%,4,5,80%,4,3,3,7,21,28,28,9,55,56
J. Gabayni,,11,178.28,20,41,49%,0,0,0%,12,23,52%,5,3,5,16,29,45,37,11,-17,52
