PLAYERS,,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS
S. Onwubere,,5,21.12,4,6,67%,3,3,100%,0,0,0%,0,1,0,2,4,6,4,3,5,11
S. Onwubere,,5,21.12,4,6,67%,3,3,100%,0,0,0%,0,1,0,2,4,6,4,3,5,11
J. Laput,,5,39.87,5,13,38%,0,0,0%,1,1,100%,1,0,1,3,6,9,8,5,-20,11
J. Laput,,5,39.87,5,13,38%,0,0,0%,1,1,100%,1,0,1,3,6,9,8,5,-20,11
J. Laput,,5,39.87,5,13,38%,0,0,0%,1,1,100%,1,0,1,3,6,9,8,5,-20,11
P. Varilla,,11,151.48,9,27,33%,2,13,15%,3,7,43%,10,0,1,12,12,24,20,2,24,23
I. Sangalang,,1,12.65,1,1,100%,0,0,0%,0,0,0%,2,0,0,1,1,2,3,1,-14,2
I. Sangalang,,1,12.65,1,1,100%,0,0,0%,0,0,0%,2,0,0,1,1,2,3,1,-14,2
I. Sangalang,,1,12.65,1,1,100%,0,0,0%,0,0,0%,2,0,0,1,1,2,3,1,-14,2
M. Digregorio,,9,98.72,6,33,18%,1,19,5%,5,8,63%,6,1,0,1,7,8,5,4,-48,18
M. Digregorio,,9,98.72,6,33,18%,1,19,5%,5,8,63%,6,1,0,1,7,8,5,4,-48,18
M. Digregorio,,9,98.72,6,33,18%,1,19,5%,5,8,63%,6,1,0,1,7,8,5,4,-48,18
J. Ponferada,,11,83.38,7,19,37%,1,5,20%,5,11,45%,5,1,1,6,7,13,18,6,-33,20
J. Ponferada,,11,83.38,7,19,37%,1,5,20%,5,11,45%,5,1,1,6,7,13,18,6,-33,20
J. Ponferada,,11,83.38,7,19,37%,1,5,20%,5,11,45%,5,1,1,6,7,13,18,6,-33,20
K. Pascual,,5,24.98,4,7,57%,0,0,0%,1,2,50%,1,1,1,0,2,2,6,0,-1,9
K. Pascual,,5,24.98,4,7,57%,0,0,0%,1,2,50%,1,1,1,0,2,2,6,0,-1,9
K. Pascual,,5,24.98,4,7,57%,0,0,0%,1,2,50%,1,1,1,0,2,2,6,0,-1,9
C. Lalata,,9,59.80,6,9,67%,0,0,0%,4,4,100%,4,0,3,3,7,10,11,3,-18,16
C. Lalata,,9,59.80,6,9,67%,0,0,0%,4,4,100%,4,0,3,3,7,10,11,3,-18,16
C. Lalata,,9,59.80,6,9,67%,0,0,0%,4,4,100%,4,0,3,3,7,10,11,3,-18,16
H. Gabo,,7,73.88,4,12,33%,2,8,25%,2,2,100%,6,3,0,1,1,2,11,3,-15,12
M. Tolomia,,6,33.47,4,7,57%,2,3,67%,0,0,0%,3,0,0,3,1,4,11,0,-6,10
M. Tolomia,,6,33.47,4,7,57%,2,3,67%,0,0,0%,3,0,0,3,1,4,11,0,-6,10
M. Tolomia,,6,33.47,4,7,57%,2,3,67%,0,0,0%,3,0,0,3,1,4,11,0,-6,10
C. Ross,,10,170.35,6,28,21%,3,18,17%,1,3,33%,32,9,0,2,19,21,16,11,-12,16
C. Ross,,10,170.35,6,28,21%,3,18,17%,1,3,33%,32,9,0,2,19,21,16,11,-12,16
C. Ross,,10,170.35,6,28,21%,3,18,17%,1,3,33%,32,9,0,2,19,21,16,11,-12,16
B. Adamos,,7,20.65,5,7,71%,1,1,100%,0,0,0%,0,0,0,1,2,3,5,1,6,11
B. Adamos,,7,20.65,5,7,71%,1,1,100%,0,0,0%,0,0,0,1,2,3,5,1,6,11
B. Adamos,,7,20.65,5,7,71%,1,1,100%,0,0,0%,0,0,0,1,2,3,5,1,6,11
M. Ganuelas-Rosser,,9,59.13,6,9,67%,0,0,0%,2,2,100%,3,1,1,2,2,4,10,0,-46,14
M. Ganuelas-Rosser,,9,59.13,6,9,67%,0,0,0%,2,2,100%,3,1,1,2,2,4,10,0,-46,14
M. Ganuelas-Rosser,,9,59.13,6,9,67%,0,0,0%,2,2,100%,3,1,1,2,2,4,10,0,-46,14
J. Pascual,,10,120.05,7,17,41%,0,0,0%,1,1,100%,4,2,3,4,20,24,24,8,-33,15
R. Escoto,,7,54.32,5,11,45%,0,3,0%,0,0,0%,1,2,0,1,6,7,6,3,5,10
R. Aguilar,,6,26.05,4,8,50%,0,1,0%,0,0,0%,3,0,0,2,5,7,9,0,14,8
R. Aguilar,,6,26.05,4,8,50%,0,1,0%,0,0,0%,3,0,0,2,5,7,9,0,14,8
R. Aguilar,,6,26.05,4,8,50%,0,1,0%,0,0,0%,3,0,0,2,5,7,9,0,14,8
C. Balagasay,,10,75.47,4,12,33%,0,1,0%,5,6,83%,2,0,0,4,8,12,18,4,-28,13
J. Corpuz,,10,62.95,5,15,33%,0,3,0%,2,4,50%,4,1,1,4,5,9,11,0,-14,12
J. Corpuz,,10,62.95,5,15,33%,0,3,0%,2,4,50%,4,1,1,4,5,9,11,0,-14,12
J. Corpuz,,10,62.95,5,15,33%,0,3,0%,2,4,50%,4,1,1,4,5,9,11,0,-14,12
M. Ayaay,,10,71.97,5,17,29%,0,6,0%,2,4,50%,5,1,0,3,9,12,17,5,-22,12
M. Ayaay,,10,71.97,5,17,29%,0,6,0%,2,4,50%,5,1,0,3,9,12,17,5,-22,12
M. Ayaay,,10,71.97,5,17,29%,0,6,0%,2,4,50%,5,1,0,3,9,12,17,5,-22,12
R. Reavis,,8,57.70,3,5,60%,0,0,0%,2,2,100%,3,1,1,2,9,11,7,4,-12,8
R. Reavis,,8,57.70,3,5,60%,0,0,0%,2,2,100%,3,1,1,2,9,11,7,4,-12,8
R. Reavis,,8,57.70,3,5,60%,0,0,0%,2,2,100%,3,1,1,2,9,11,7,4,-12,8
R. Jose,,10,44.00,5,10,50%,0,2,0%,0,0,0%,0,0,0,3,9,12,8,0,-18,10
R. Jose,,10,44.00,5,10,50%,0,2,0%,0,0,0%,0,0,0,3,9,12,8,0,-18,10
R. Jose,,10,44.00,5,10,50%,0,2,0%,0,0,0%,0,0,0,3,9,12,8,0,-18,10
J. Faundo,,1,2.12,0,0,0%,0,0,0%,1,1,100%,0,0,0,1,1,2,0,0,-6,1
J. Faundo,,1,2.12,0,0,0%,0,0,0%,1,1,100%,0,0,0,1,1,2,0,0,-6,1
J. Faundo,,1,2.12,0,0,0%,0,0,0%,1,1,100%,0,0,0,1,1,2,0,0,-6,1
F. Johnson,,3,11.65,1,2,50%,1,2,50%,0,0,0%,0,0,0,0,2,2,1,0,-9,3
F. Johnson,,3,11.65,1,2,50%,1,2,50%,0,0,0%,0,0,0,0,2,2,1,0,-9,3
F. Johnson,,3,11.65,1,2,50%,1,2,50%,0,0,0%,0,0,0,0,2,2,1,0,-9,3
J. Clarito,,9,50.35,4,18,22%,0,8,0%,1,1,100%,4,4,0,6,5,11,5,7,9,9
J. Clarito,,9,50.35,4,18,22%,0,8,0%,1,1,100%,4,4,0,6,5,11,5,7,9,9
J. Clarito,,9,50.35,4,18,22%,0,8,0%,1,1,100%,4,4,0,6,5,11,5,7,9,9
K. Zaldivar,,2,1.98,1,1,100%,0,0,0%,0,0,0%,0,0,0,0,0,0,1,0,-3,2
K. Zaldivar,,2,1.98,1,1,100%,0,0,0%,0,0,0%,0,0,0,0,0,0,1,0,-3,2
K. Zaldivar,,2,1.98,1,1,100%,0,0,0%,0,0,0%,0,0,0,0,0,0,1,0,-3,2
L. Vigil,,3,7.87,1,3,33%,0,2,0%,0,0,0%,0,0,1,0,4,4,0,0,5,2
L. Vigil,,3,7.87,1,3,33%,0,2,0%,0,0,0%,0,0,1,0,4,4,0,0,5,2
L. Vigil,,3,7.87,1,3,33%,0,2,0%,0,0,0%,0,0,1,0,4,4,0,0,5,2
B. Guinto,,3,9.07,1,1,100%,0,0,0%,0,0,0%,0,0,0,1,1,2,3,1,1,2
M. Acuno,,3,12.02,1,6,17%,0,0,0%,0,0,0%,0,0,0,3,2,5,2,3,-28,2
J. David,,5,12.30,1,2,50%,1,2,50%,0,0,0%,2,0,0,0,3,3,2,1,0,3
J. David,,5,12.30,1,2,50%,1,2,50%,0,0,0%,2,0,0,0,3,3,2,1,0,3
J. David,,5,12.30,1,2,50%,1,2,50%,0,0,0%,2,0,0,0,3,3,2,1,0,3
D. Marcelo,,6,38.63,1,6,17%,0,1,0%,1,7,14%,1,0,1,4,6,10,3,2,-8,3
D. Marcelo,,6,38.63,1,6,17%,0,1,0%,1,7,14%,1,0,1,4,6,10,3,2,-8,3
D. Marcelo,,6,38.63,1,6,17%,0,1,0%,1,7,14%,1,0,1,4,6,10,3,2,-8,3
J. Mendoza,,7,13.87,1,3,33%,0,1,0%,0,0,0%,1,0,0,0,2,2,2,1,-9,2
J. Mendoza,,7,13.87,1,3,33%,0,1,0%,0,0,0%,1,0,0,0,2,2,2,1,-9,2
J. Mendoza,,7,13.87,1,3,33%,0,1,0%,0,0,0%,1,0,0,0,2,2,2,1,-9,2
J. Fajardo,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
J. Fajardo,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
J. Fajardo,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
J. Yap,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
A. Santos,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
A. Santos,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
A. Santos,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
T. Romeo,,1,2.88,0,1,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,-6,0
T. Romeo,,1,2.88,0,1,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,-6,0
T. Romeo,,1,2.88,0,1,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,-6,0
J. Chan,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
J. Chan,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
J. Chan,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
P. Caperal,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
P. Caperal,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
P. Caperal,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
A. Semerad,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
A. Semerad,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
A. Semerad,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
P. Taha,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
P. Taha,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
P. Taha,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
J. Chua,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
J. Chua,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
J. Chua,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
J. Erram,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
J. Erram,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
J. Erram,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
K. Ighalo,,1,4.40,0,1,0%,0,1,0%,0,0,0%,0,0,0,0,1,1,1,0,-9,0
K. Ighalo,,1,4.40,0,1,0%,0,1,0%,0,0,0%,0,0,0,0,1,1,1,0,-9,0
K. Ighalo,,1,4.40,0,1,0%,0,1,0%,0,0,0%,0,0,0,0,1,1,1,0,-9,0
A. Taulava,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
A. Taulava,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
A. Taulava,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
R. Soyud,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
R. Soyud,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
R. Soyud,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
J. Melton,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
J. Melton,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
J. Melton,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
J. Yap,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
J. Pascual,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
J. Pascual,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
J. Pascual,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
S. Anthony,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
S. Anthony,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
S. Anthony,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
J. Dillinger,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
J. Dillinger,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
J. Dillinger,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
R. Hugnatan,,1,1.85,0,1,0%,0,1,0%,0,0,0%,0,0,0,0,0,0,0,0,-2,0
R. Hugnatan,,1,1.85,0,1,0%,0,1,0%,0,0,0%,0,0,0,0,0,0,0,0,-2,0
R. Hugnatan,,1,1.85,0,1,0%,0,1,0%,0,0,0%,0,0,0,0,0,0,0,0,-2,0
L. Fonacier,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
L. Fonacier,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
L. Fonacier,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
A. Cabagnot,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
A. Cabagnot,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
A. Cabagnot,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
B. Heruela,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
B. Heruela,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
B. Heruela,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
R. Brondial,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
R. Brondial,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
R. Brondial,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
J. Quinahan,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
J. Quinahan,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
J. Quinahan,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
N. Pinto,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
N. Pinto,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
N. Pinto,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
N. Baclao,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
N. Baclao,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
N. Baclao,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
A. Dela Cruz,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
A. Dela Cruz,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
A. Dela Cruz,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
J. Rios,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
J. Rios,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
J. Rios,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
J. Rios,,3,18.60,0,4,0%,0,3,0%,0,0,0%,0,2,0,1,3,4,1,0,-18,0
K. Racal,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
K. Racal,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
K. Racal,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
A. Mariano,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
A. Mariano,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
A. Mariano,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
S. Sumang,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
S. Sumang,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
S. Sumang,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
G. Khobuntin,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
G. Khobuntin,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
G. Khobuntin,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
G. Banal,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
G. Banal,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
G. Banal,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
M. Belo,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
M. Belo,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
M. Belo,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
R. Celda,,1,1.97,0,0,0%,0,0,0%,0,0,0%,1,0,0,0,0,0,0,1,-8,0
N. Javelona,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
N. Javelona,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
N. Javelona,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
D. Dario,,1,1.85,0,1,0%,0,0,0%,0,0,0%,1,1,0,0,0,0,0,0,-2,0
T. Jackson,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
T. Jackson,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
T. Jackson,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
J. Alejandro,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
J. Alejandro,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
J. Alejandro,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
P. Varilla,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
P. Varilla,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
P. Varilla,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
M. Magat,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
M. Magat,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
M. Magat,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
C. Balagasay,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
C. Balagasay,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
C. Balagasay,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
M. Canete,,2,3.75,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,2,0,-3,0
M. Canete,,2,3.75,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,2,0,-3,0
M. Canete,,2,3.75,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,2,0,-3,0
R. Publico,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
B. Enriquez,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
R. Acuno,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
G. Go,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
B. Guinto,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
B. Guinto,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
B. Guinto,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
M. Dyke,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
M. Dyke,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
M. Dyke,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
J. Grospe,,3,5.92,0,0,0%,0,0,0%,0,0,0%,1,0,0,0,0,0,1,0,6,0
J. Grospe,,3,5.92,0,0,0%,0,0,0%,0,0,0%,1,0,0,0,0,0,1,0,6,0
J. Grospe,,3,5.92,0,0,0%,0,0,0%,0,0,0%,1,0,0,0,0,0,1,0,6,0
J. Go,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
J. Go,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
J. Go,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
R. Ewing,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
R. Ewing,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
R. Ewing,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
G. Yang,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
G. Yang,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
G. Yang,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
K. Si,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
K. Si,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
K. Si,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
S. Zhu,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
S. Zhu,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
S. Zhu,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
M. Ju,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
M. Ju,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
M. Ju,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
X. Liu,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
X. Liu,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
X. Liu,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
H. Blankley,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
H. Blankley,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
H. Blankley,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
Y. Liang,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
Y. Liang,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
Y. Liang,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
J. Song,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
J. Song,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
J. Song,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
C. Liu,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
C. Liu,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
C. Liu,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
K. Lam,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
K. Lam,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
K. Lam,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
Q. Zheng,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
Q. Zheng,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
